wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
14.0,4.0,1.0,4.0,31.0,21.0,2.0,2.0,12.0,0.807692,290.0,0.25,0.0,0.75,0.258929,2,4,19.428571,7.0,1.9286,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999963206
22.0,2.0,0.0,42.0,54.0,199.0,13.0,32.0,20.0,0.571429,466.0,1.0,0.0,0.622642,0.215909,2,4,20.136364,7.0,1.4091,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
13.0,1.0,0.0,5.0,49.0,64.0,3.0,2.0,0.0,0.916667,699.0,0.833333,0.0,0.0,0.3125,0,0,52.307692,16.0,2.4615,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999944137524
7.0,2.0,0.0,3.0,19.0,0.0,0.0,3.0,7.0,0.0,64.0,1.0,1.0,0.684211,0.428571,1,5,8.0,1.0,0.8571,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999947150516004
10.0,3.0,4.0,124.0,15.0,27.0,120.0,5.0,10.0,0.902778,88.0,1.0,2.0,0.8875,0.28,0,0,7.0,1.0,0.9,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
1.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0,0,3.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6305644992661831
2.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,2.0,2.0,127.0,1.0,0.0,0.0,0.5,0,0,62.0,6.0,3.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6607149775370517
1.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,0,0,5.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6318252314708278
7.0,6.0,5.0,12.0,15.0,1.0,7.0,6.0,5.0,0.75,76.0,0.5,1.0,0.962406,0.342857,2,5,9.571429,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999853018022056
3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.95,0.833333,0,0,1.0,1.0,0.6667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6650040785527064
2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,229.0,0.0,0.0,0.974359,1.0,0,0,113.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6664985309355703
11.0,1.0,1.0,2.0,20.0,53.0,2.0,1.0,0.0,0.9,90.0,1.0,0.0,0.0,0.4,0,0,7.090909,2.0,0.9091,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9988918942493528
8.0,2.0,0.0,4.0,11.0,0.0,2.0,2.0,8.0,0.214286,105.0,1.0,0.0,0.722222,0.5,1,6,11.875,4.0,1.125,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999999355689544
12.0,1.0,0.0,83.0,12.0,66.0,83.0,0.0,12.0,1.090909,13.0,0.0,0.0,0.0,0.416667,0,0,0.0,1.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
14.0,1.0,0.0,3.0,21.0,31.0,3.0,0.0,12.0,0.717949,344.0,1.0,0.0,0.0,0.512821,0,0,23.142857,3.0,0.8571,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999998256
5.0,3.0,0.0,17.0,28.0,0.0,3.0,15.0,4.0,0.25,129.0,1.0,1.0,0.933333,0.333333,1,5,24.4,5.0,1.8,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999803179475574
4.0,5.0,0.0,4.0,6.0,0.0,2.0,2.0,3.0,0.833333,24.0,0.5,0.0,0.986486,0.5,0,0,4.5,1.0,0.75,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6678124251764866
2.0,4.0,0.0,4.0,6.0,1.0,0.0,4.0,2.0,2.0,439.0,0.0,0.0,0.97619,1.0,0,0,218.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6781210523040221
11.0,1.0,1.0,3.0,20.0,53.0,3.0,1.0,0.0,0.9,90.0,1.0,0.0,0.0,0.4,0,0,7.090909,2.0,0.9091,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9991009668844612
2.0,1.0,0.0,10.0,4.0,1.0,9.0,1.0,1.0,1.0,12.0,0.0,1.0,0.0,1.0,0,0,4.5,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9952525229765884
2.0,4.0,0.0,5.0,7.0,1.0,0.0,5.0,2.0,2.0,618.0,0.0,0.0,0.97619,1.0,0,0,308.0,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9998818738088788
2.0,4.0,0.0,4.0,6.0,1.0,0.0,4.0,2.0,2.0,633.0,0.0,0.0,0.97619,1.0,0,0,315.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999231020719832
11.0,3.0,0.0,16.0,42.0,15.0,3.0,14.0,10.0,0.8,223.0,0.75,1.0,0.951456,0.23376599999999997,2,6,18.909091,4.0,1.2727,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999848628
2.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0,0.875,0,0,12.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6626217906430274
7.0,1.0,0.0,29.0,17.0,0.0,26.0,3.0,7.0,0.0,155.0,1.0,0.0,0.0,0.464286,0,0,21.0,4.0,1.8571,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6666666548765353
7.0,2.0,0.0,2.0,18.0,1.0,0.0,2.0,7.0,0.75,215.0,1.0,0.0,0.6,0.371429,1,3,29.142857,4.0,1.5714,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999996053093608
13.0,1.0,0.0,3.0,49.0,64.0,1.0,2.0,0.0,0.916667,699.0,0.833333,0.0,0.0,0.3125,0,0,52.307692,16.0,2.4615,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999915027644
2.0,4.0,0.0,4.0,6.0,1.0,0.0,4.0,2.0,2.0,633.0,0.0,0.0,0.97619,1.0,0,0,315.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999231020719832
9.0,5.0,0.0,10.0,29.0,36.0,2.0,8.0,6.0,1.125,158.0,0.0,0.0,0.963801,0.314815,4,10,16.444444,16.0,3.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999992624616
11.0,1.0,0.0,8.0,15.0,0.0,8.0,0.0,11.0,0.56,235.0,0.8,0.0,0.0,0.515152,0,0,19.909091,4.0,1.7273,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999992968002
8.0,2.0,0.0,6.0,25.0,0.0,1.0,5.0,8.0,0.47618999999999995,195.0,1.0,2.0,0.65,0.34375,1,5,22.625,6.0,1.625,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999334196258
2.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,3764.0,0.0,0.0,0.97619,1.0,0,0,1875.0,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
3.0,4.0,0.0,22.0,24.0,0.0,0.0,22.0,3.0,0.0,191.0,1.0,4.0,0.979592,0.4444439999999999,3,13,61.333333,3.0,1.3333,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999998625914144
11.0,3.0,0.0,31.0,57.0,0.0,0.0,31.0,11.0,0.2,611.0,1.0,2.0,0.8765430000000001,0.2467530000000001,2,9,54.272727,7.0,2.5455,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999999996
4.0,1.0,0.0,4.0,13.0,0.0,2.0,2.0,4.0,0.555556,77.0,0.666667,1.0,0.0,0.75,0,0,17.5,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9975739728620824
4.0,3.0,0.0,1.0,15.0,6.0,0.0,1.0,3.0,1.333333,4270.0,0.0,0.0,0.926829,0.333333,0,0,1005.75,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
6.0,3.0,0.0,4.0,11.0,9.0,3.0,1.0,6.0,0.9,50.0,0.5,0.0,0.975124,0.4444439999999999,2,6,7.0,3.0,1.1667,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.99999840813773
3.0,4.0,0.0,8.0,11.0,0.0,0.0,8.0,3.0,0.0,51.0,1.0,1.0,0.979592,0.4444439999999999,3,13,15.666667000000002,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999229476747528
2.0,5.0,0.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,12.0,0.0,0.0,1.0,0.833333,0,0,4.5,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6620314925515391
45.0,2.0,0.0,11.0,147.0,580.0,1.0,10.0,43.0,0.733333,1264.0,0.8,2.0,0.232143,0.140171,0,0,26.755556,3.0,1.0444,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
27.0,1.0,1.0,12.0,88.0,341.0,7.0,5.0,24.0,0.8888889999999999,1134.0,0.8888889999999999,6.0,0.0,0.192308,0,0,40.666667,40.0,4.8889,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
4.0,1.0,0.0,4.0,16.0,0.0,1.0,3.0,3.0,0.5,242.0,1.0,0.0,0.0,0.4375,0,0,58.5,6.0,3.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9955718080469894
22.0,1.0,1.0,5.0,38.0,67.0,2.0,3.0,21.0,0.873016,384.0,0.166667,2.0,0.0,0.327273,0,0,16.181818,8.0,1.5455,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
9.0,2.0,0.0,9.0,23.0,36.0,9.0,9.0,0.0,2.0,82.0,0.0,0.0,0.529412,0.4444439999999999,0,0,8.111111,1.0,0.8889,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.996538410033465
18.0,1.0,0.0,45.0,41.0,0.0,30.0,16.0,17.0,0.294118,438.0,1.0,1.0,0.0,0.163194,0,0,23.222222,4.0,2.3333,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
81.0,6.0,0.0,58.0,233.0,3062.0,11.0,54.0,66.0,0.962931,2220.0,1.0,5.0,0.721429,0.129167,3,8,26.049383,10.0,2.037,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
2.0,4.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,315.0,0.0,0.0,0.97619,1.0,0,0,156.5,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.6667182857872204
4.0,3.0,0.0,1.0,15.0,6.0,0.0,1.0,3.0,1.333333,4270.0,0.0,0.0,0.926829,0.333333,0,0,1005.75,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,1.0
2.0,4.0,0.0,5.0,7.0,1.0,0.0,5.0,2.0,2.0,608.0,0.0,0.0,0.97619,1.0,0,0,303.0,1.0,0.5,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9997654124066696
1.0,4.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,0,0,4.0,0.0,0.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.5258930730060245
10.0,1.0,0.0,57.0,18.0,17.0,57.0,0.0,10.0,0.777778,106.0,1.0,0.0,0.0,0.4,1,1,9.1,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999999999828
9.0,3.0,0.0,21.0,46.0,6.0,1.0,20.0,8.0,0.75,219.0,0.0,1.0,0.960784,0.23809499999999997,2,6,23.111111,2.0,1.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999998834698
4.0,3.0,0.0,19.0,31.0,0.0,5.0,15.0,4.0,0.833333,132.0,1.0,0.0,0.949153,0.416667,1,4,31.5,4.0,2.0,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.999996723852522
9.0,4.0,7.0,15.0,23.0,6.0,8.0,8.0,8.0,0.75,124.0,0.0,1.0,0.857143,0.355556,3,9,12.555556,6.0,1.7778,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999941093156
10.0,3.0,1.0,26.0,18.0,3.0,24.0,3.0,9.0,0.8611110000000001,99.0,0.25,2.0,0.910256,0.333333,2,22,8.5,3.0,1.2,True,GMean_Voting_Pred,GMean_Voting_Pred,True,0.9999999986400976
